Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.220703	0.000000	0.000000	0.000000	
0.000000	0.000000	0.119141	0.000000	0.000000	0.000000	
0.000000	0.000000	0.087891	0.000000	0.000000	0.000000	
0.000000	0.000000	0.082031	0.000000	0.000000	0.000000	
0.000000	0.000000	0.103516	0.000000	0.000000	0.000000	
0.000000	0.000000	0.091797	0.000000	0.000000	0.000000	
0.000000	0.000000	0.066406	0.000000	0.000000	0.000000	
0.000000	0.000000	0.068359	0.000000	0.000000	0.000000	
0.000000	0.000000	0.029297	0.000000	0.000000	0.000000	
0.000000	0.000000	0.076172	0.000000	0.000000	0.000000	
0.000000	0.000000	0.041016	0.000000	0.000000	0.000000	
0.000000	0.000000	0.011719	0.000000	0.000000	0.000000	
0.000000	0.000000	0.062500	0.000000	0.000000	0.000000	
0.000000	0.000000	0.009766	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.033203	0.000000	0.000000	0.000000	
0.000000	0.000000	0.074219	0.000000	0.000000	0.000000	
0.000000	0.000000	0.035156	0.000000	0.000000	0.000000	
0.000000	0.000000	0.060547	0.000000	0.000000	0.000000	
0.000000	0.000000	0.083984	0.000000	0.000000	0.000000	
0.000000	0.000000	0.025391	0.000000	0.000000	0.000000	
0.000000	0.000000	0.041016	0.000000	0.000000	0.000000	
0.000000	0.000000	0.078125	0.000000	0.000000	0.000000	
0.000000	0.000000	0.033203	0.000000	0.000000	0.000000	
0.000000	0.000000	0.056641	0.000000	0.000000	0.000000	
0.000000	0.000000	0.037109	0.000000	0.000000	0.000000	
0.000000	0.000000	0.033203	0.000000	0.000000	0.000000	
0.000000	0.000000	0.074219	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.044922	0.000000	0.000000	0.000000	
0.000000	0.000000	0.039062	0.000000	0.000000	0.000000	
0.000000	0.000000	0.054688	0.000000	0.000000	0.000000	
0.000000	0.000000	0.019531	0.000000	0.000000	0.000000	
0.000000	0.000000	0.023438	0.000000	0.000000	0.000000	
0.000000	0.000000	0.017578	0.000000	0.000000	0.000000	
0.000000	0.000000	0.041016	0.000000	0.000000	0.000000	
0.000000	0.000000	0.001953	0.000000	0.000000	0.000000	
0.000000	0.000000	0.035156	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.035156	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.037109	0.000000	0.000000	-31.000002	
0.000000	0.000000	0.044922	0.000000	0.000000	-31.000002	
0.000000	0.000000	0.039062	0.000000	0.000000	0.000000	
0.000000	0.000000	0.003906	0.000000	0.000000	0.000000	
0.000000	0.000000	0.050781	0.000000	0.000000	0.000000	
0.000000	0.000000	0.060547	0.000000	0.000000	0.000000	
0.000000	0.000000	0.027344	0.000000	0.000000	0.000000	
0.000000	0.000000	0.039062	0.000000	0.000000	0.000000	
0.000000	0.000000	0.021484	0.000000	0.000000	0.000000	
0.000000	0.000000	0.078125	0.000000	0.000000	0.000000	
0.000000	0.000000	0.052734	0.000000	0.000000	0.000000	
0.000000	0.000000	0.033203	0.000000	0.000000	0.000000	
0.000000	0.000000	0.031250	0.000000	0.000000	0.000000	
0.000000	0.000000	0.019531	0.000000	0.000000	0.000000	
0.000000	0.000000	0.076172	0.000000	0.000000	0.000000	
0.000000	0.000000	0.068359	0.000000	0.000000	0.000000	
0.000000	0.000000	0.017578	0.000000	0.000000	0.000000	
0.000000	0.000000	0.044922	0.000000	0.000000	0.000000	
0.000000	0.000000	0.023438	0.000000	0.000000	0.000000	
-31.000002	0.000000	0.052734	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.054688	0.000000	0.000000	0.000000	
0.000000	-31.000002	0.064453	0.000000	0.000000	0.000000	
0.000000	0.000000	0.011719	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.031250	0.000000	0.000000	0.000000	
0.000000	0.000000	0.023438	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.062500	0.000000	0.000000	0.000000	
0.000000	0.000000	0.035156	0.000000	0.000000	0.000000	
0.000000	0.000000	0.013672	0.000000	0.000000	0.000000	
0.000000	0.000000	0.064453	0.000000	0.000000	-31.000002	
0.000000	0.000000	0.021484	0.000000	0.000000	0.000000	
0.000000	0.000000	0.039062	0.000000	0.000000	0.000000	
0.000000	0.000000	0.017578	0.000000	0.000000	0.000000	
0.000000	0.000000	0.070312	0.000000	0.000000	0.000000	
0.000000	0.000000	0.066406	0.000000	0.000000	0.000000	
0.000000	0.000000	0.062500	0.000000	0.000000	0.000000	
0.000000	0.000000	0.041016	0.000000	0.000000	0.000000	
0.000000	0.000000	-30.917969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.015625	0.000000	0.000000	0.000000	
0.000000	0.000000	0.039062	0.000000	0.000000	0.000000	
0.000000	0.000000	0.009766	0.000000	0.000000	0.000000	
0.000000	0.000000	0.087891	0.000000	0.000000	0.000000	
0.000000	0.000000	-30.951174	0.000000	0.000000	0.000000	
0.000000	0.000000	0.080078	0.000000	0.000000	0.000000	
0.000000	0.000000	0.072266	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.015625	0.000000	0.000000	0.000000	
0.000000	0.000000	0.048828	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.035156	0.000000	0.000000	0.001953	
0.000000	0.000000	0.050781	0.000000	0.000000	0.000000	
0.000000	0.000000	0.013672	0.000000	0.000000	0.000000	
-31.000002	0.000000	0.066406	0.000000	0.000000	0.000000	
0.000000	0.000000	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.048828	0.000000	0.000000	0.000000	
0.000000	0.000000	0.078125	0.000000	0.000000	0.000000	
0.000000	0.000000	0.031250	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.023438	0.000000	0.000000	0.000000	
0.000000	0.000000	0.048828	0.000000	0.000000	0.000000	
0.000000	0.000000	0.031250	0.000000	0.000000	0.000000	
0.000000	0.000000	0.025391	0.000000	-31.000002	0.000000	
0.000000	0.000000	0.044922	0.000000	0.000000	0.000000	
0.000000	0.000000	0.083984	0.000000	0.000000	0.000000	
0.000000	0.000000	0.025391	0.000000	0.000000	0.000000	
0.000000	0.000000	0.023438	0.000000	0.000000	0.000000	
0.000000	0.000000	0.039062	0.000000	0.000000	0.000000	
0.000000	0.000000	0.025391	0.000000	0.000000	0.000000	
0.000000	0.000000	0.056641	0.000000	0.000000	0.000000	
0.000000	0.001953	0.042969	0.000000	0.000000	0.000000	
0.000000	0.000000	0.023438	0.000000	0.000000	0.000000	
0.000000	0.000000	0.017578	0.000000	0.000000	0.000000	
0.000000	0.000000	0.064453	0.000000	0.000000	0.000000	
0.000000	0.000000	0.027344	0.000000	0.000000	0.000000	
0.000000	0.000000	0.056641	0.000000	0.000000	0.000000	
0.000000	0.000000	0.058594	0.000000	0.000000	0.000000	
0.000000	0.000000	0.033203	0.000000	-31.000002	0.000000	
0.000000	0.000000	0.072266	0.000000	0.000000	0.000000	
0.000000	0.000000	0.048828	0.000000	0.000000	0.000000	
0.000000	0.000000	0.064453	0.000000	0.000000	0.000000	
0.000000	0.000000	0.015625	0.000000	0.000000	0.000000	
0.000000	0.000000	0.041016	0.000000	0.000000	0.000000	
0.000000	0.000000	0.048828	0.000000	0.000000	0.000000	
0.000000	0.000000	0.064453	0.000000	0.000000	0.000000	
0.000000	0.000000	0.046875	0.000000	0.000000	0.000000	
0.000000	0.000000	0.033203	0.000000	0.000000	0.000000	
0.000000	0.000000	0.078125	0.000000	0.000000	0.000000	
0.000000	0.000000	0.078125	0.000000	0.000000	0.000000	
