Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
-743	519	38	-562	-767	1138	
-743	513	38	-15871	-519	1138	
-743	519	1	-562	-15623	1138	
-743	519	38	-15666	-519	1138	
-745	516	38	-560	-518	1140	
-745	516	-15834	-560	-518	1140	
-745	513	38	-560	-518	1140	
-15849	516	1	-15664	-518	1140	
-745	516	38	-15664	-518	1140	
-749	518	38	-563	-522	1145	
-764	531	38	-574	-15637	1163	
-780	545	38	-586	-544	1180	
-804	565	-15834	-602	-15664	1194	
-826	584	38	-618	-576	1195	
-856	610	38	-15742	-596	1195	
-883	633	38	-657	-615	1195	
-911	657	38	-677	-633	1195	
-936	678	38	-694	-650	-15701	
-959	696	38	-710	-664	1195	
-988	720	38	-730	-684	1195	
-1019	747	38	-751	-703	1195	
-1041	766	1	-766	-717	1195	
-1041	766	38	-766	-717	1195	
-15633	766	38	-767	-717	1195	
-1041	766	38	-766	-717	1195	
-1041	766	38	-766	-717	1195	
-15632	764	40	-768	-718	1195	
-1040	764	40	-768	-718	1195	
-1040	764	40	-768	-767	1195	
-1040	764	40	-768	-718	1195	
-15632	764	40	-15872	-718	1195	
-1040	764	40	-767	-718	1195	
-1042	765	40	-768	-719	1195	
-1071	790	-15832	-789	-738	1195	
-1095	769	40	-806	-755	1195	
-1119	830	40	-822	-772	-15701	
-1147	855	40	-842	-790	1195	
-1175	-15760	40	-861	-808	1195	
-1197	899	40	-877	-823	1195	
-1223	921	40	-894	-842	1195	
-1246	942	40	-911	-857	1195	
-1277	969	40	-931	-877	1195	
-1298	988	40	-947	-892	1195	
-1321	1006	40	-961	-907	1195	
-1349	1030	40	-15829	-927	1195	
-1365	1045	-15832	-992	-938	1195	
-1365	1045	40	-992	-938	1195	
-1365	1045	40	-992	-938	1195	
-1365	1045	40	-992	-938	1195	
-1365	1045	1	-992	-938	-15701	
-1380	1025	40	-1002	-949	1195	
-1406	1082	-15832	-1021	-968	1195	
-1435	1107	40	-1041	-988	1195	
-1464	1132	40	-1061	-1007	1195	
-1486	1152	40	-1077	-1022	1195	
-1511	1174	40	-1093	-1039	1195	
-1539	1025	40	-1113	-1059	1195	
-1560	1219	40	-1128	-1074	1195	
-1590	1245	40	-1149	-1094	1195	
-1617	1269	-15832	-1168	-1112	1195	
-1646	1295	40	-1187	-1130	1195	
-1673	1319	40	-1206	-1148	1195	
-1694	1338	40	-1221	-1163	1195	
-1696	1339	40	-1222	-1164	1195	
-1696	1339	40	-1222	-1164	1195	
-1696	1339	40	-1222	-1164	1195	
-1696	1339	40	-1222	-1164	1195	
-1697	1340	40	-1221	-1166	1195	
-1697	1340	40	-1221	-1166	1195	
-1697	1340	-15832	-1221	-1166	1195	
-1697	1340	40	-1221	-1279	1025	
-1697	1281	40	-1279	-1166	-15701	
-1697	1340	40	-1221	-1166	1195	
-1711	1348	39	-1222	-1168	1195	
-1733	1368	38	-15830	-1183	1195	
-1754	1386	-15835	-1252	-1198	1195	
-1781	1281	36	-15864	-1217	1195	
-1809	1436	36	-1291	-1238	1195	
-1835	1460	1	-1309	-1256	1195	
-1860	1281	36	-1327	-1273	-15701	
-1885	1504	36	-1344	-1290	1195	
-1907	1524	36	-1535	-1306	1195	
-1932	1546	-15836	-1377	-1323	1195	
-1961	1572	36	-1397	-1342	1195	
-1990	1597	36	-1418	-1362	1195	
-2018	1623	36	-1438	-1381	1195	
-2039	1642	36	-1453	-1396	1195	
-2039	1537	36	-1453	-1396	1195	
-2039	1642	36	-1453	-1396	1195	
-2039	1642	36	-1453	-1396	1195	
-2039	-15766	36	-1453	-1396	1195	
-2056	1657	36	-1466	-1406	1195	
-2079	1677	36	-1483	-1422	1195	
-2100	1697	1	-1499	-1436	1195	
-2120	1715	36	-1515	-1452	1025	
-2144	1739	36	-1533	-1468	1195	
-2171	1767	36	-1553	-1485	1195	
-2195	1793	36	-1571	-1502	1195	
-2217	-15846	36	-1587	-1519	1195	
-2240	1842	36	-1603	-1535	1195	
-2259	1865	36	-1616	-1548	1195	
-15848	1887	36	-1631	-1562	1195	
-2305	1917	36	-1648	-1580	1195	
-2331	1945	36	-1667	-1599	1195	
-15667	1971	36	-1683	-1616	1195	
-2381	1999	36	-1701	-1633	1195	
-2407	-15638	36	-1720	-15732	1195	
-2427	-15617	36	-1734	-1668	1195	
-2456	2073	36	-1753	-1688	1195	
-2469	2085	36	-1762	-15778	1195	
-2469	2085	36	-1762	-1698	1195	
-2469	2085	36	-1762	-1698	1195	
-2469	2085	36	-1791	-1698	1195	
-2469	-15835	36	-1762	-1698	1195	
-2470	2089	36	-1760	-15871	1195	
-2470	2089	36	-1760	-1701	1195	
-2470	2089	36	-1760	-1701	1195	
-2470	2089	36	-1760	-1701	1025	
-2470	2089	36	-1791	-1701	-15701	
-15782	2089	36	-1760	-1791	1195	
-2470	-15831	36	-1761	-1702	1195	
-2470	2089	36	-1761	-1702	1195	
-2470	2089	36	-15841	-1702	1195	
-2470	2089	-15836	-1761	-1702	1195	
-2470	2089	36	-1761	-1702	1195	
-2470	-15831	36	-15841	-1702	1195	
-2482	2100	-15836	-1770	-1708	1195	
-2505	2123	36	-1785	-1724	1195	
-2526	2144	36	-1800	-1739	1195	
-2552	2170	36	-1818	-15837	1195	
-2578	2195	36	-1836	-1774	1195	
-2603	-15701	36	-1852	-1790	1195	
-2624	2241	36	-1866	-1804	1195	
-2650	2268	36	-1885	-1821	1195	
-2673	2293	36	-1901	-1838	1195	
-2697	2318	36	-1917	-1855	1195	
-2724	2346	36	-1936	-1872	1195	
-2750	2373	36	-1954	-1891	1195	
-2774	2397	36	-1970	-1908	-15701	
-2795	2417	36	-1985	-1922	1195	
-2821	2443	36	-2003	-1941	1195	
-2845	2468	36	-2020	-1957	-15701	
-2863	2487	36	-2032	-1970	1195	
-2863	2487	36	-2032	-1970	1195	
-2863	2487	36	-2032	-1970	1195	
-15663	2487	36	-2032	-1970	1195	
-2863	2487	36	-2032	-2047	1195	
-2867	2488	36	-2033	-1971	1195	
-2867	2305	36	-2047	-1971	1195	
-15667	2488	36	-2047	-1971	1195	
-2867	2488	36	-2033	-15795	1195	
-2867	2488	36	-2033	-1971	1195	
-2867	2488	36	-2033	-2047	1195	
-2867	2488	36	-2033	-1971	1195	
-2893	2513	36	-2051	-1990	1195	
-2919	2539	36	-2068	-2007	1195	
-2945	2567	36	-2086	-2024	1195	
-2972	2595	36	-2104	-2041	1195	
-2993	2618	-15836	-2119	-2056	1195	
-3018	2643	36	-2136	-2073	1195	
-3043	2671	36	-2153	-15658	1195	
-3067	2698	36	-2170	-2105	1195	
