Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
3751	-15871	-4300	2484	2560	-15872	
3774	1	-4320	2499	2571	0	
3793	1	-4336	2512	2561	0	
3814	1	-4354	2526	2590	0	
3833	1	-4367	2538	2600	0	
3851	-15871	-4380	2549	2609	0	
3868	1	-4394	2559	2617	0	
3889	1	-4410	2572	2628	0	
3909	1	-4426	2585	2638	0	
3928	1	-4442	2597	2648	0	
3949	1	-4460	2612	2659	0	
-15742	1	-4479	2626	2670	0	
3988	1	-4494	2638	2680	-15872	
4009	1	-4512	2653	2691	0	
4027	1	-4528	2666	2700	0	
4049	1	-4548	2682	2712	0	
4069	1	-4566	2696	2723	0	
4090	1	-4584	2709	2733	0	
4108	1	-4600	2721	2741	0	
4129	1	-4618	2735	2561	0	
4146	1	-15641	2747	2759	0	
4167	1	-4652	2761	2769	0	
4186	1	-4670	2774	2779	0	
4204	1	-4687	2787	2788	0	
4225	1	-4705	2801	2799	0	
4246	1	-4724	2815	2808	0	
4267	1	-4744	2829	2819	0	
4287	1	-4758	2841	2829	0	
-15663	1	-4772	2853	2838	0	
4324	1	-4790	2865	2847	0	
4343	1	-4804	2877	2855	0	
4361	1	-15826	2888	2863	0	
4383	1	-4836	2901	2874	0	
4407	1	-4854	2915	2885	0	
4426	1	-5119	2925	2894	0	
4445	1	-4886	2935	2902	0	
4462	1	-4899	2944	2910	0	
4479	1	-4913	2952	2918	0	
4496	1	-4926	2960	2926	0	
4509	1	-15692	2966	2935	0	
4528	1	-4954	2817	2945	0	
4550	1	-4972	2983	2957	0	
4572	1	-4990	2991	2968	0	
4593	1	-5007	2999	2978	0	
4613	1	-5024	3007	2987	0	
4631	1	-5038	3014	2995	0	
4649	1	-5052	3020	3004	0	
4668	1	-5068	3027	3014	0	
4690	1	-5088	3034	3023	0	
4712	1	-5103	3040	3033	1	
4729	1	-5116	3045	3041	0	
4750	1	-5132	3051	3051	0	
4769	1	-5146	3055	3057	0	
4786	1	-5159	3060	3063	0	
4804	1	-5172	3064	3070	0	
4823	1	-5183	3068	3078	0	
4841	1	-5196	-15872	3084	0	
4861	1	-5208	3076	3091	0	
4881	1	-5220	3080	3097	0	
4901	1	-5233	3082	3103	0	
4918	1	-5244	3086	3108	0	
4938	1	-5254	3073	3114	0	
4955	1	-5264	3094	3119	0	
4979	1	-5278	3098	3125	0	
4999	1	-5288	3102	3130	0	
5017	1	-5298	3106	3134	0	
5036	1	-5306	3109	3137	0	
5057	1	-5317	3113	3141	0	
5076	1	-5326	3116	3144	0	
5095	1	-5334	3119	3148	0	
5114	1	-5342	3121	3152	0	
5133	1	-5350	3124	3155	0	
5155	2	-5360	3128	3160	0	
5175	2	-5368	3131	3164	0	
5192	2	-5375	3133	3167	0	
5213	2	-5382	3137	3171	0	
5230	2	-5388	3140	3175	0	
5251	2	-5395	3143	3179	0	
5270	2	-5402	3145	3182	0	
5291	2	-5410	3149	3186	0	
5314	2	-5417	3151	3189	0	
5335	2	-5422	3153	3191	0	
5355	2	-5428	3155	3194	0	
5375	2	-5434	3157	3196	0	
5391	2	-5440	3159	3198	0	
5409	2	-5446	3161	3199	0	
5431	2	-5454	3163	3201	0	
5449	2	-5458	3073	3203	0	
5467	2	-5462	3165	3204	0	
5486	2	-5466	3165	3205	0	
5507	2	-5471	3166	3206	0	
5524	2	-5475	3167	3206	0	
5545	2	-5480	3168	3206	0	
5565	2	-5486	3168	3206	0	
5586	2	-5491	3168	3206	0	
5604	2	-5497	3168	3206	0	
5624	2	-5498	3168	3206	0	
5641	2	-5501	-15776	3206	0	
5658	2	-5505	3168	3206	0	
5679	2	-5510	3168	3206	0	
5700	2	-5514	3168	3206	0	
5719	2	-5520	3168	3206	0	
5743	2	-5526	3169	3206	0	
5760	2	-5531	3169	3206	0	
5782	2	-5535	3170	3206	0	
5799	2	-15778	3172	3206	0	
5817	2	-5538	3173	3206	0	
5837	2	-5538	3174	3206	0	
5858	2	-5538	3175	3206	0	
5877	2	-5538	3177	3206	0	
5896	2	-5538	3178	3206	0	
5919	2	-5538	3181	3206	0	
5936	2	-5538	3182	3206	0	
5955	2	-5538	3184	3206	0	
5974	2	-5538	3185	3206	0	
5995	2	-5538	3186	3206	0	
6016	2	-5538	3188	3206	0	
6040	2	-5538	3189	3206	0	
6060	2	-5538	3190	3206	0	
6078	2	-5538	3191	3206	0	
6095	2	-5538	3192	3206	0	
6112	2	-5538	3193	3206	0	
6131	2	-5538	3195	3206	0	
6151	2	-5538	3196	3206	0	
6170	2	-5538	3197	3206	0	
6191	2	-5538	3197	3206	0	
6211	2	-5538	3197	3206	0	
6233	2	-5538	3197	3206	0	
6250	2	-5538	3197	3206	0	
6269	2	-5538	3198	3206	0	
6290	2	-5538	3199	3206	0	
6309	2	-5538	3201	3206	0	
6359	2	-5538	-15740	3206	0	
6379	3	-5538	3206	3206	0	
6399	4	-5538	3208	3206	0	
6417	5	-5538	3209	3206	0	
6435	5	-5538	3209	3206	0	
6454	5	-5538	3209	3206	0	
6476	5	-5538	3210	3206	0	
6493	5	-5538	3212	3206	0	
6510	5	-5538	3213	3206	0	
6530	5	-5538	3214	3206	0	
6549	5	-5538	3216	3206	0	
6570	5	-5538	3218	3206	0	
6587	5	-5538	3219	3206	0	
6608	5	-5538	3220	3206	0	
6627	5	-5538	3221	3206	0	
6645	5	-5538	3221	3206	0	
6667	5	-5538	3222	3206	0	
6687	5	-5538	3224	3206	0	
6706	5	-5538	3225	3206	0	
6723	5	-5538	3225	3206	0	
6744	5	-5538	3226	3206	0	
6764	5	-5538	3227	3206	0	
6786	5	-15778	3229	3206	0	
6803	5	-5538	3229	3206	0	
6823	5	-5538	3230	3206	0	
6843	5	-5538	3230	3206	0	
6862	5	-5538	3230	3206	0	
6883	5	-5538	3230	3206	0	
6900	5	-5538	3230	3206	0	
6921	5	-5538	3230	3206	0	
6938	5	-5538	3230	3206	0	
6958	5	-5538	3230	3206	0	
6979	5	-5538	3230	3206	0	
6999	5	-5538	3230	3206	0	
7017	5	-5538	3230	3206	0	
7037	5	-5538	3230	3206	0	
7055	5	-5538	3230	3206	0	
7073	5	-5538	3230	3206	0	
7092	5	-5538	3230	3206	0	
7112	5	-5538	3230	3206	0	
7130	5	-5538	3230	3206	0	
7147	5	-5538	3230	3206	0	
7169	5	-5538	3231	3206	0	
7188	5	-5538	3231	3206	0	
7209	5	-5538	3231	3206	0	
7230	5	-5538	3232	3206	0	
7251	5	-5538	3232	3206	0	
7273	5	-5538	3232	3206	0	
7290	5	-5538	3232	3073	0	
7312	5	-5538	3232	3206	0	
7334	5	-5538	3232	3206	0	
7351	5	-5538	3233	3206	0	
7371	5	-5538	3233	3206	0	
7391	5	-5538	3235	3206	0	
7407	5	-5538	3236	3206	0	
7427	5	-5538	3237	3206	0	
7449	5	-5538	3238	3206	0	
7467	5	-5538	3240	3206	0	
7489	5	-5538	3241	3206	0	
7507	5	-5538	3242	3206	0	
7526	5	-5538	3243	3206	0	
7543	5	-5631	3243	3206	0	
7561	5	-5538	3243	3206	0	
7582	5	-5538	3243	3206	0	
7604	5	-5538	3244	3206	0	
7623	5	-5538	3245	3206	0	
7643	5	-5538	3245	3206	0	
7660	5	-5538	3246	3206	0	
7679	5	-5538	3247	3206	0	
7700	5	-5538	3248	3206	-15872	
-15835	5	-5538	3248	3206	0	
7737	5	-5538	3248	3206	0	
7754	5	-5538	3248	3206	0	
7776	5	-5538	3248	3206	0	
7793	5	-5538	3248	3206	0	
7813	5	-5538	3249	3206	0	
7832	5	-5538	3249	3206	0	
7851	5	-5538	3249	3206	0	
7869	5	-5538	3249	3206	0	
7889	5	-5538	3250	3206	0	
7911	5	-5538	3253	3206	0	
7930	5	-5538	3253	3206	0	
7950	5	-5538	3253	3206	0	
7969	5	-5538	3253	3206	0	
7986	5	-5538	3253	3206	0	
8005	5	-5538	3253	3206	0	
8021	5	-5538	3254	3206	0	
8039	5	-5538	3254	3206	0	
8061	5	-5538	3254	3206	0	
8078	5	-5538	3254	3206	0	
8100	5	-5538	3254	3206	0	
8121	5	-5538	3254	3206	0	
8141	5	-5538	3254	3206	0	
8158	5	-5538	3254	3206	0	
8175	5	-5538	3254	3206	0	
8191	5	-5538	3254	3206	0	
8211	5	-5538	3254	3206	0	
8229	5	-5538	3254	3206	0	
8251	5	-5538	3254	3206	0	
8269	5	-5538	3254	3206	0	
8290	5	-5538	3254	3206	0	
8309	5	-5538	3254	3206	0	
8325	5	-5538	3254	3206	0	
8344	5	-5538	3255	3206	0	
8361	5	-5538	3256	3206	0	
8384	5	-5538	3258	3206	0	
8405	5	-5538	3261	3206	0	
8425	5	-5538	3262	3206	0	
8443	5	-5538	3264	3206	0	
8460	5	-5538	3265	3206	0	
8481	5	-5538	3265	3206	0	
8501	5	-5538	3265	3206	0	
8519	5	-5538	3265	3206	0	
8541	5	-5538	3265	3206	0	
8563	5	-5538	3265	3206	0	
8585	5	-5538	3265	3206	0	
8603	5	-5538	3265	3206	0	
8621	5	-5538	3265	3206	0	
8641	5	-5538	3265	3206	0	
8675	5	-5538	3265	3206	0	
8697	5	-5538	3265	3206	0	
8720	5	-5538	3265	3206	0	
8742	5	-5538	3265	3206	0	
8759	5	-5542	3265	3206	0	
8780	5	-5547	3265	3206	0	
8797	5	-5554	3265	3206	0	
8813	5	-5560	3265	3206	0	
8831	5	-5567	3265	3206	0	
8854	5	-5577	3265	3206	0	
8871	5	-5582	3265	3206	0	
-15682	5	-5590	3265	3206	0	
8913	5	-5596	3265	3206	0	
8929	5	-5600	3265	3206	1	
8946	5	-5606	3265	3206	0	
8967	5	-5612	3265	3206	0	
8989	5	-5618	3265	3206	0	
9009	5	-5622	3266	3206	0	
9029	5	-5626	3266	3206	0	
9051	5	-5632	3266	3206	0	
9070	5	-5637	3266	3206	0	
9090	5	-5643	3268	3206	0	
9111	5	-5648	3269	3206	0	
9130	5	-5653	3270	3206	-15872	
9149	5	-5656	3272	3206	0	
9172	5	-5656	3274	3206	0	
9192	5	-5657	3276	3206	0	
9210	5	-5658	3277	3206	0	
9224	5	-5661	3278	3206	0	
9241	5	-5665	3278	3206	0	
9256	5	-5668	3278	3206	0	
9275	5	-5673	3279	3206	0	
9294	5	-5677	3280	3206	0	
9314	5	-5682	3282	3206	0	
9336	5	-5687	3284	3206	0	
9358	5	-5691	3286	3206	0	
9379	5	-5694	3287	3206	0	
9398	5	-5694	3288	3206	0	
9415	5	-5696	3290	3206	0	
9435	5	-5699	3293	3206	0	
9457	5	-5702	3297	3206	0	
9479	5	-5708	3300	3206	0	
9497	5	-5712	3303	3206	0	
9515	6	-5716	3305	3206	0	
9535	7	-5722	3308	3206	0	
9552	8	-5726	3311	3206	0	
9568	9	-5731	3312	3206	0	
9585	12	-5734	3315	3206	-15872	
9607	17	-5736	3318	3206	0	
9625	20	-5739	3321	3206	0	
9646	23	-5744	3324	3206	0	
9667	27	-5750	3330	3206	0	
9684	31	-5756	3338	3206	1	
9705	34	-5762	3350	3206	1	
9721	37	-5770	3359	3206	-15871	
9740	41	-5775	3369	3206	1	
9763	44	-5782	3379	3207	1	
9779	46	-5787	3384	3073	1	
9799	49	-5794	3390	3213	1	
9818	53	-5800	3395	3215	1	
9834	54	-5806	3400	3217	1	
9853	57	-5812	3404	3218	1	
9870	60	-5818	3408	3220	1	
9891	62	-5823	3412	3223	1	
9913	64	-5830	3416	3226	1	
9934	65	-5838	3420	3229	1	
9952	65	-5844	3423	3231	1	
9973	67	-5850	3426	3235	1	
9993	69	-5856	3429	3238	1	
10010	72	-5860	3432	3240	1	
10032	74	-5866	3434	3243	1	
10054	77	-5871	3436	3245	1	
10075	81	-5876	3438	3247	1	
10097	84	-5882	3440	3249	1	
10117	87	-5888	3442	3251	1	
10136	90	-5892	3329	3252	1	
10152	93	-5893	3445	3254	1	
10172	97	-5898	3447	3255	1	
10194	101	-5903	3449	3257	1	
10215	104	-5910	3450	3257	1	
10237	107	-5914	3452	3257	1	
10257	111	-5921	-15746	3258	1	
10275	114	-5926	3455	3259	1	
10293	117	-5930	3456	3260	1	
10310	121	-5930	3456	3261	1	
10327	123	-5933	3456	3262	1	
10349	126	-5936	3456	3263	1	
10368	129	-5939	3456	3264	1	
10385	132	-5943	3456	3265	1	
10408	135	-5949	3456	3266	1	
10427	138	-5954	3456	3267	1	
10443	141	-5958	3456	3267	1	
10464	144	-5962	3456	3267	1	
10483	146	-5967	3456	3267	1	
10504	149	-5970	3456	3267	1	
10524	153	-5970	3456	3267	1	
10543	156	-5970	3456	3267	1	
10563	159	-5972	3456	3267	1	
10580	161	-5974	3456	3267	1	
10597	165	-5978	3456	3267	1	
10617	167	-5982	3456	3267	1	
10635	169	-5986	3456	3267	-15871	
10652	171	-5990	3456	3073	1	
10670	174	-5992	3456	3267	1	
10691	177	-5996	3456	3267	1	
10712	179	-6001	3456	3267	1	
10732	183	-6005	3456	3267	1	
-15619	185	-6007	3456	3267	1	
10766	188	-6008	3456	3267	1	
10789	191	-6008	3456	3267	1	
10812	195	-6008	3456	3267	1	
10830	197	-6008	3456	3267	1	
10853	199	-6008	3456	3267	1	
10875	200	-6008	3456	3267	1	
10892	201	-6008	3456	3267	1	
10913	202	-6008	3456	3267	1	
10933	203	-6008	3456	3267	1	
10954	205	-6008	3456	3267	1	
10974	207	-6008	3456	3267	1	
10996	209	-6008	3456	3267	1	
11019	211	-6008	-31104	3267	1	
11042	211	-6008	3455	3267	1	
11064	212	-6008	3456	3267	1	
11083	214	-6008	3456	3267	1	
11105	216	-6008	3456	3267	1	
11125	219	-6008	3456	3267	1	
