Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
-7780	2996	-1	-5305	-5200	2616	
-7792	2996	-1	-5316	-5205	2616	
-7811	2996	-1	-5330	-5214	2616	
-7835	2996	-1	-5347	-5228	2616	
-7864	2996	-1	-5368	-5246	2616	
-7890	2996	-1	-5387	-5264	2616	
-7919	2996	-1	-5409	-5285	2616	
-7949	2996	-1	-5431	-5305	2616	
-7977	2996	-1	-5451	-5324	2616	
-8004	2996	-1	-5469	-5343	2616	
-8031	2996	-1	-5488	-5361	2616	
-8062	2996	-1	-5631	-5382	2616	
-8088	2996	-1	-5526	-5400	2616	
-8117	2996	-1	-5545	-5418	2616	
-8146	2996	-1	-5565	-5438	2616	
-8180	2996	-1	-5587	-5458	2616	
-8210	2996	-1	-5609	-5479	2616	
-8241	2996	-1	-5630	-5499	2616	
-8271	2996	-1	-5650	-5519	2616	
-8299	2996	-1	-5669	-5536	2616	
-8327	2996	-1	-5689	-5555	2616	
-8360	2996	-1	-5711	-5577	2616	
-8391	2996	-1	-5733	-5598	2616	
-8410	2996	-1	-5745	-5609	2616	
-8432	2996	-1	-5761	-5623	2616	
-8452	-15692	-1	-5773	-5636	2616	
-8473	2996	-1	-5789	-5650	2616	
-8492	2996	-1	-5801	-5663	2616	
-8511	2996	-1	-5814	-5676	2616	
-8529	2996	-1	-5827	-5687	2616	
-8551	2996	-1	-5842	-5701	2616	
-8571	2996	-1	-5853	-5714	2616	
-8592	2996	-1	-5867	-5729	2616	
-8612	2996	-1	-5881	-5742	2616	
-8633	2996	-1	-5895	-5756	2616	
-8657	2996	-1	-5911	-5771	2616	
-8677	2996	-1	-5925	-5784	2616	
-8696	2996	-1	-5938	-5796	2616	
-8713	2996	-1	-5949	-5808	2616	
-8731	2996	-1	-5961	-5820	2616	
-8751	2996	-1	-5974	-5832	2616	
-8771	2996	-1	-5987	-5845	2616	
-8791	2996	-1	-6002	-5859	2616	
-8815	2996	-1	-6018	-5874	2616	
-8834	2996	-1	-6031	-5887	2616	
-8856	2996	-1	-6046	-5902	2616	
-8874	2996	-1	-6059	-5913	2616	
-8892	2996	-1	-6071	-5921	2616	
-8911	2996	-1	-6085	-5934	2616	
-8930	2996	-1	-6099	-5946	2616	
-8953	2996	-1	-6114	-5960	2616	
-8975	2996	-1	-6129	-6143	2616	
-8996	2996	-1	-6399	-5990	2616	
-9015	2996	-1	-6157	-6002	2616	
-9035	2996	-1	-6171	-6012	2616	
-9056	2996	-1	-6186	-6027	2616	
-9075	2996	-1	-6199	-6040	2616	
-9097	2996	-129	-6212	-6056	2616	
-9120	2996	-1	-6228	-6072	2616	
-9144	2996	-1	-6244	-6086	2616	
-9167	2996	-1	-6259	-6101	2616	
-9184	2996	-1	-6271	-6112	2616	
-9201	2996	-1	-15757	-6126	2616	
-9221	2996	-1	-6297	-6140	2616	
-9242	2996	-1	-6312	-6153	2616	
-9263	2996	-1	-6325	-6167	2616	
-9285	2996	-1	-6340	-6181	2616	
-9305	2817	-1	-6353	-6196	2616	
-9326	2996	-1	-6367	-6210	2616	
-9348	2996	-1	-6382	-6226	2616	
-9367	2996	-1	-6396	-6240	2616	
-9389	2996	-1	-6411	-6254	2616	
-9412	2996	-1	-6426	-6270	2616	
-9432	2996	-1	-6440	-6285	2616	
-9452	2996	-1	-6453	-6299	2616	
-9475	2996	-1	-6469	-6315	2616	
-9493	2996	-1	-6482	-6327	2616	
-9514	2996	-1	-6497	-6342	2616	
-9535	2996	-1	-6512	-6357	2616	
-9557	2996	-1	-6526	-6372	2616	
-9580	2996	-1	-6542	-6388	2616	
-9604	-15692	-1	-6558	-6404	2616	
